"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","V16"
9270,93,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0",0.0234641989139586
9270,94,88,1,0,1.19,0.99,1.19,0.2,"PRL","L","RG","XL","0","0",0.750695222979529
9270,95,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0",0.0190297071517404
9270,96,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0",0.0243043457213819
9270,97,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0",-0.010347383328283
9270,98,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","1",-0.0345869240152478
9270,99,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0",0.00026254140856764
9270,100,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","1",-0.127096066319333
9270,101,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0",-0.036037846913823
9270,102,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0",-0.0019505128910094
9270,103,107,0,0,3.38,0,0,0,"SNG","B","RG","MD","2","0",0.14357511621624
9270,104,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","0",-0.106251029274801
9270,105,111,1,0,3.38,1.99,3.39,1.4,"SNG","B","LT","MD","2","0",1.70939089111778
9270,106,112,0,0,4.078,0,0,0,"SNG","B","LT","LR","0","0",-0.0747458533321134
9270,107,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0",0.110321629096966
9270,108,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","0",0.104640849148769
9270,109,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0",-0.0178636586067102
9270,110,118,2,0,2.74,2.19,2.69,0.5,"SNG","S","LT","MD","2","0",1.72973215900321
9270,111,124,0,0,2.258,0,0,0,"STP","B","RG","MD","0","0",0.106215835982226
9270,112,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0",0.00925205672397312
9270,113,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0",0.108313456969657
9270,114,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0",-0.000946304507171692
9271,116,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0",0.0402966454169529
9271,117,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0",-0.00239254138019988
9271,118,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0",-0.058013699210498
9271,119,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","2",-0.041116501447108
9271,120,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0",0.0269335387803367
9271,121,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","2",-0.00425358753240652
9271,122,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0",-0.0406906898454537
9271,123,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","2",0.0103619770738417
9271,124,30,0,0,0.99,0,0,0,"CLF","S","RG","SM","0","0",0.114509128069333
9271,125,31,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
9271,126,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0",0.0258649188719609
9271,127,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0",-0.0655072009776463
9271,128,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0",0.0217325762323918
9271,129,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0",0.00244826722704463
9271,130,37,0,0,3.19,0,0,0,"DWN","B","RG","MD","0","0",-0.00499516169968811
9271,131,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0",-0.0917992624903053
9271,132,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","7","0",-0.0517841300818615
9271,133,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0",-0.00234606174006259
9271,134,41,0,0,3.19,0,0,0,"DWN","B","LT","MD","0","0",-0.0545339247063042
