"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature"
9271,119,16,0,0,1.19,0,0,0,"ARM","S","RG","SM","0","0"
9271,120,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0"
9271,121,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0"
9271,122,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0"
9271,123,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","4"
9271,124,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0"
9271,125,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","4"
9271,126,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0"
9271,127,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","4"
9271,128,30,0,0,0.99,0,0,0,"CLF","S","RG","SM","0","0"
9271,129,31,0,0,1.29,0,0,0,"CLF","S","RG","SM","0","0"
9271,130,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0"
9271,131,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0"
9271,132,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0"
9271,133,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0"
9271,134,37,0,0,3.19,0,0,0,"DWN","B","RG","MD","0","0"
9271,135,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0"
9271,136,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","0","4"
9271,137,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0"
9271,138,41,1,0,3.19,1.99,3.19,1.2,"DWN","B","LT","MD","0","0"
9271,139,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0"
9271,140,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0"
9271,141,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","4","0"
9271,142,46,1,0,2.743,1.99,2.69,0.7,"DWN","F","LT","SM","0","0"
9271,143,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0"
9271,144,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0"
9271,145,53,0,2,2.848,0,0,0,"DWN","S","LT","MD","0","0"
9271,146,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0"
9271,147,62,0,0,2.509,0,0,0,"FNT","B","RG","MD","0","0"
9271,148,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0"
9271,149,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9271,150,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9271,151,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0"
9271,152,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0"
9271,153,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0"
9271,154,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0"
9271,155,88,0,1,1.19,0,0,0,"PRL","L","RG","XL","0","0"
9271,156,89,0,0,1.672,0,0,0,"PRL","L","LT","MD","0","0"
9271,157,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0"
9271,158,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0"
9271,159,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0"
9271,160,97,2,0,1.177,0.995,0.995,0,"PRL","S","RG","MD","0","2"
9271,161,99,1,0,2.072,1.99,1.99,0,"PRL","S","RG","LR","0","0"
9271,162,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","2"
9271,163,104,0,2,3.99,0,0,0,"SNG","B","RG","XL","7","0"
9271,164,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0"
9271,165,107,0,0,3.38,0,0,0,"SNG","B","RG","MD","0","0"
9271,166,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","4"
9271,167,111,0,2,3.38,0,0,0,"SNG","B","LT","MD","0","0"
9271,168,112,0,0,4.078,0,0,0,"SNG","B","LT","LR","0","0"
9271,169,114,0,2,1.273,0,0,0,"SNG","S","RG","SM","0","0"
9271,170,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","1"
9271,171,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0"
9271,172,118,0,2,2.74,0,0,0,"SNG","S","LT","MD","0","1"
9271,173,124,0,8,2.258,0,0,0,"STP","B","RG","MD","0","0"
9271,174,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0"
9271,175,126,0,0,1.967,0,0,0,"STP","F","RG","SM","0","0"
9271,176,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0"
9271,177,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0"
9273,178,16,0,0,1.19,0,0,0,"ARM","S","RG","SM","0","0"
9273,179,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0"
9273,180,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0"
9273,181,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0"
9273,182,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","4"
9273,183,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0"
9273,184,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","4"
9273,185,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0"
9273,186,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","4"
9273,187,30,4,0,0.99,0.99,0.99,0,"CLF","S","RG","SM","0","0"
9273,188,31,0,0,1.29,0,0,0,"CLF","S","RG","SM","0","0"
9273,189,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0"
9273,190,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0"
9273,191,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0"
9273,192,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0"
9273,193,37,0,0,3.19,0,0,0,"DWN","B","RG","MD","0","0"
9273,194,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0"
9273,195,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","0","4"
9273,196,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0"
9273,197,41,0,0,3.19,0,0,0,"DWN","B","LT","MD","0","0"
9273,198,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0"
9273,199,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0"
9273,200,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","4","0"
9273,201,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0"
9273,202,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0"
9273,203,51,1,0,2.848,1.99,2.99,1,"DWN","S","RG","MD","0","0"
9273,204,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0"
9273,205,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0"
9273,206,62,0,0,2.509,0,0,0,"FNT","B","RG","MD","0","0"
9273,207,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0"
9273,208,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9273,209,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9273,210,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0"
9273,211,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0"
9273,212,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0"
9273,213,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0"
9273,214,88,0,0,1.19,0,0,0,"PRL","L","RG","XL","0","0"
9273,215,89,0,0,1.672,0,0,0,"PRL","L","LT","MD","0","0"
9273,216,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0"
9273,217,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0"
9273,218,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0"
9273,219,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","2"
9273,220,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0"
9273,221,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","2"
9273,222,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0"
9273,223,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0"
9273,224,107,0,0,3.38,0,0,0,"SNG","B","RG","MD","0","0"
9273,225,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","4"
9273,226,111,0,0,3.38,0,0,0,"SNG","B","LT","MD","0","0"
9273,227,112,0,0,4.078,0,0,0,"SNG","B","LT","LR","0","0"
9273,228,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0"
9273,229,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","1"
9273,230,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0"
9273,231,118,0,0,2.74,0,0,0,"SNG","S","LT","MD","0","1"
9273,232,124,0,0,2.258,0,0,0,"STP","B","RG","MD","0","0"
9273,233,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0"
9273,234,126,0,0,1.967,0,0,0,"STP","F","RG","SM","0","0"
9273,235,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0"
9273,236,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0"
9274,237,16,0,0,1.19,0,0,0,"ARM","S","RG","SM","0","0"
9274,238,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0"
9274,239,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0"
9274,240,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0"
9274,241,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","4"
9274,242,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0"
9274,243,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","4"
9274,244,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0"
9274,245,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","4"
9274,246,30,0,4,0.99,0,0,0,"CLF","S","RG","SM","0","0"
9274,247,31,0,0,1.29,0,0,0,"CLF","S","RG","SM","0","0"
9274,248,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0"
9274,249,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0"
9274,250,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0"
9274,251,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0"
9274,252,37,1,0,3.19,1.99,3.19,1.2,"DWN","B","RG","MD","0","0"
9274,253,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0"
9274,254,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","0","4"
9274,255,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0"
9274,256,41,1,0,3.19,3.19,3.19,0,"DWN","B","LT","MD","0","0"
9274,257,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0"
9274,258,44,1,0,2.743,2.69,2.69,0,"DWN","F","RG","SM","0","0"
9274,259,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","4","0"
9274,260,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0"
9274,261,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0"
9274,262,51,0,1,2.848,0,0,0,"DWN","S","RG","MD","0","0"
9274,263,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0"
9274,264,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0"
9274,265,62,3,0,2.509,2.06,2.35666666666667,0.296666666666667,"FNT","B","RG","MD","0","0"
9274,266,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0"
9274,267,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9274,268,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9274,269,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0"
9274,270,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0"
9274,271,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0"
9274,272,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0"
9274,273,88,0,0,1.19,0,0,0,"PRL","L","RG","XL","0","0"
9274,274,89,0,0,1.672,0,0,0,"PRL","L","LT","MD","0","0"
9274,275,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0"
9274,276,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0"
9274,277,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0"
9274,278,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","2"
9274,279,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0"
9274,280,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","2"
9274,281,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0"
9274,282,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0"
9274,283,107,3,0,3.38,1.99,3.25666666666667,1.26666666666667,"SNG","B","RG","MD","0","0"
9274,284,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","4"
9274,285,111,4,0,3.38,2.04,3.34,1.3,"SNG","B","LT","MD","0","0"
9274,286,112,2,0,4.078,2.99,4.14,1.15,"SNG","B","LT","LR","0","0"
9274,287,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0"
9274,288,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","1"
9274,289,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0"
9274,290,118,0,0,2.74,0,0,0,"SNG","S","LT","MD","0","1"
9274,291,124,1,0,2.258,1.14,2.29,1.15,"STP","B","RG","MD","0","0"
9274,292,125,2,0,3.346,1.64,3.29,1.65,"STP","B","RG","LR","0","0"
9274,293,126,0,0,1.967,0,0,0,"STP","F","RG","SM","0","0"
9274,294,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0"
9274,295,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0"
