IRIweek,SKU#,sales,lagsales,ARSP,APP,ARP,APC,brand,form,formula,size,display,feature,month,season
593,45,0,0,4.905,0,0,0,DWN,F,RG,MD,7,0,1,winter
593,46,0,1,2.743,0,0,0,DWN,F,LT,SM,0,0,1,winter
593,50,1,0,1.89,1.89,1.89,0,DWN,S,RG,SM,0,0,1,winter
593,51,1,0,2.848,2.99,2.99,0,DWN,S,RG,MD,0,0,1,winter
593,53,0,0,2.848,0,0,0,DWN,S,LT,MD,0,0,1,winter
593,61,0,2,1.378,0,0,0,FNT,B,RG,SM,0,0,1,winter
593,62,4,2,2.509,2.29,2.29,0,FNT,B,RG,MD,0,0,1,winter
593,63,1,1,3.457,3.29,3.29,0,FNT,B,RG,LR,0,0,1,winter
593,65,2,3,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,1,winter
593,66,2,3,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,1,winter
593,72,2,0,1.928,1.99,1.99,0,GEN,S,UN,LR,0,0,1,winter
593,78,0,0,3.169,0,0,0,PRL,B,RG,XL,0,0,1,winter
593,80,0,2,1.109,0,0,0,PRL,B,RG,SM,0,0,1,winter
593,82,0,1,1.49,0,0,0,PRL,B,RG,MD,0,0,1,winter
593,88,0,0,1.19,0,0,0,PRL,L,RG,XL,0,0,1,winter
593,89,0,0,1.672,0,0,0,PRL,L,LT,MD,0,0,1,winter
593,91,2,3,4.184,3.99,3.99,0,PRL,L,RG,XL,0,0,1,winter
593,93,0,0,1.105,0,0,0,PRL,L,RG,MD,0,0,1,winter
593,95,0,0,3.378,0,0,0,PRL,S,RG,XL,0,0,1,winter
593,97,4,6,1.177,1.29,1.29,0,PRL,S,RG,MD,0,2,1,winter
593,99,0,0,2.072,0,0,0,PRL,S,RG,LR,0,0,1,winter
593,103,2,1,1.182,1.29,1.29,0,PRL,S,UN,MD,0,1,1,winter
593,104,0,0,3.99,0,0,0,SNG,B,RG,XL,0,0,1,winter
593,106,0,1,1.985,0,0,0,SNG,B,RG,SM,0,0,1,winter
593,107,34,7,3.38,1.99,3.19,1.2,SNG,B,RG,MD,0,0,1,winter
593,108,0,0,4.078,0,0,0,SNG,B,RG,LR,0,4,1,winter
593,111,31,8,3.38,1.99,3.19,1.2,SNG,B,LT,MD,0,0,1,winter
593,112,0,0,4.078,0,0,0,SNG,B,LT,LR,4,0,1,winter
593,114,5,3,1.273,1.19,1.19,0,SNG,S,RG,SM,0,0,1,winter
593,115,1,0,2.875,2.19,2.99,0.8,SNG,S,RG,MD,0,0,1,winter
593,116,0,0,3.29,0,0,0,SNG,S,RG,LR,0,0,1,winter
593,118,4,0,2.74,2.19,2.99,0.8,SNG,S,LT,MD,0,1,1,winter
593,124,1,1,2.258,2.29,2.29,0,STP,B,RG,MD,0,0,1,winter
593,125,0,0,3.346,0,0,0,STP,B,RG,LR,0,0,1,winter
593,126,0,0,1.967,0,0,0,STP,F,RG,SM,0,0,1,winter
593,130,1,2,1.826,1.99,1.99,0,TSN,S,RG,MD,0,0,1,winter
593,131,0,0,2.59,0,0,0,TSN,S,RG,LR,0,0,1,winter
594,16,0,1,1.19,0,0,0,ARM,S,RG,SM,0,0,1,winter
594,17,0,1,2.041,0,0,0,ARM,S,RG,MD,0,0,1,winter
594,19,0,0,3.102,0,0,0,ARM,S,RG,LR,0,0,1,winter
594,20,0,0,6.178,0,0,0,BNC,S,RG,XL,0,0,1,winter
594,23,0,2,2.821,0,0,0,BNC,S,RG,MD,0,4,1,winter
594,25,0,1,1.69,0,0,0,BNC,S,ST,SM,0,0,1,winter
594,26,0,0,2.818,0,0,0,BNC,S,ST,MD,0,4,1,winter
594,27,0,0,3.876,0,0,0,BNC,S,ST,LR,0,0,1,winter
594,29,0,1,2.821,0,0,0,BNC,S,UN,MD,0,4,1,winter
594,30,0,0,0.99,0,0,0,CLF,S,RG,SM,0,0,1,winter
594,31,0,2,1.29,0,0,0,CLF,S,RG,SM,0,0,1,winter
594,32,0,0,1.79,0,0,0,CLF,S,RG,MD,0,0,1,winter
594,34,0,0,5.218,0,0,0,DWN,B,RG,XL,0,0,1,winter
594,35,0,1,1.29,0,0,0,DWN,B,RG,SM,0,0,1,winter
594,36,0,1,1.79,0,0,0,DWN,B,RG,SM,0,0,1,winter
594,37,0,3,3.19,0,0,0,DWN,B,RG,MD,0,0,1,winter
594,38,1,1,4.39,4.39,4.39,0,DWN,B,RG,LR,0,0,1,winter
594,39,0,0,5.166,0,0,0,DWN,B,LT,XL,0,0,1,winter
594,40,0,0,1.767,0,0,0,DWN,B,LT,SM,0,0,1,winter
594,41,0,1,3.19,0,0,0,DWN,B,LT,MD,0,0,1,winter
594,42,0,0,4.362,0,0,0,DWN,B,LT,LR,0,0,1,winter
594,44,0,3,2.743,0,0,0,DWN,F,RG,SM,0,0,1,winter
594,45,0,0,4.905,0,0,0,DWN,F,RG,MD,7,0,1,winter
594,46,0,0,2.743,0,0,0,DWN,F,LT,SM,0,0,1,winter
594,50,0,1,1.89,0,0,0,DWN,S,RG,SM,0,0,1,winter
594,51,0,1,2.848,0,0,0,DWN,S,RG,MD,0,0,1,winter
594,53,0,0,2.848,0,0,0,DWN,S,LT,MD,0,0,1,winter
594,61,0,0,1.378,0,0,0,FNT,B,RG,SM,0,0,1,winter
594,62,0,4,2.509,0,0,0,FNT,B,RG,MD,0,0,1,winter
594,63,0,1,3.457,0,0,0,FNT,B,RG,LR,0,0,1,winter
594,65,0,2,1.09,0,0,0,GEN,B,RG,XL,0,0,1,winter
594,66,1,2,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,1,winter
594,72,0,2,1.928,0,0,0,GEN,S,UN,LR,0,0,1,winter
594,78,0,0,3.169,0,0,0,PRL,B,RG,XL,0,0,1,winter
594,80,0,0,1.109,0,0,0,PRL,B,RG,SM,0,0,1,winter
594,82,0,0,1.49,0,0,0,PRL,B,RG,MD,0,0,1,winter
594,88,0,0,1.19,0,0,0,PRL,L,RG,XL,0,0,1,winter
594,89,0,0,1.672,0,0,0,PRL,L,LT,MD,0,0,1,winter
594,91,0,2,4.184,0,0,0,PRL,L,RG,XL,0,0,1,winter
594,93,0,0,1.105,0,0,0,PRL,L,RG,MD,0,0,1,winter
594,95,0,0,3.378,0,0,0,PRL,S,RG,XL,0,0,1,winter
594,97,0,4,1.177,0,0,0,PRL,S,RG,MD,0,2,1,winter
594,99,0,0,2.072,0,0,0,PRL,S,RG,LR,0,0,1,winter
594,103,0,2,1.182,0,0,0,PRL,S,UN,MD,0,1,1,winter
594,104,0,0,3.99,0,0,0,SNG,B,RG,XL,0,0,1,winter
594,106,0,0,1.985,0,0,0,SNG,B,RG,SM,0,0,1,winter
594,107,0,34,3.38,0,0,0,SNG,B,RG,MD,0,0,1,winter
594,108,0,0,4.078,0,0,0,SNG,B,RG,LR,0,4,1,winter
594,111,0,31,3.38,0,0,0,SNG,B,LT,MD,0,0,1,winter
594,112,1,0,4.078,4.29,4.29,0,SNG,B,LT,LR,4,0,1,winter
594,114,3,5,1.273,1.19,1.19,0,SNG,S,RG,SM,0,0,1,winter
594,115,0,1,2.875,0,0,0,SNG,S,RG,MD,0,0,1,winter
594,116,0,0,3.29,0,0,0,SNG,S,RG,LR,0,0,1,winter
594,118,0,4,2.74,0,0,0,SNG,S,LT,MD,0,1,1,winter
594,124,0,1,2.258,0,0,0,STP,B,RG,MD,0,0,1,winter
594,125,0,0,3.346,0,0,0,STP,B,RG,LR,0,0,1,winter
594,126,0,0,1.967,0,0,0,STP,F,RG,SM,0,0,1,winter
594,130,0,1,1.826,0,0,0,TSN,S,RG,MD,0,0,1,winter
594,131,0,0,2.59,0,0,0,TSN,S,RG,LR,0,0,1,winter
595,16,0,0,1.19,0,0,0,ARM,S,RG,SM,0,0,1,winter
595,17,1,0,2.041,1.99,1.99,0,ARM,S,RG,MD,0,0,1,winter
595,19,0,0,3.102,0,0,0,ARM,S,RG,LR,0,0,1,winter
595,20,0,0,6.178,0,0,0,BNC,S,RG,XL,0,0,1,winter
595,23,2,0,2.821,2.89,2.89,0,BNC,S,RG,MD,0,4,1,winter
595,25,3,0,1.69,1.69,1.69,0,BNC,S,ST,SM,0,0,1,winter
595,26,0,0,2.818,0,0,0,BNC,S,ST,MD,0,4,1,winter
595,27,1,0,3.876,3.99,3.99,0,BNC,S,ST,LR,0,4,1,winter
595,29,0,0,2.821,0,0,0,BNC,S,UN,MD,0,4,1,winter
595,30,0,0,0.99,0,0,0,CLF,S,RG,SM,0,0,1,winter
595,31,0,0,1.29,0,0,0,CLF,S,RG,SM,0,0,1,winter
595,32,4,0,1.79,1.79,1.79,0,CLF,S,RG,MD,0,0,1,winter
595,34,0,0,5.218,0,0,0,DWN,B,RG,XL,0,0,1,winter
595,35,0,0,1.29,0,0,0,DWN,B,RG,SM,0,0,1,winter
595,36,0,0,1.79,0,0,0,DWN,B,RG,SM,0,0,1,winter
595,37,0,0,3.19,0,0,0,DWN,B,RG,MD,0,0,1,winter
595,38,2,1,4.39,4.39,4.39,0,DWN,B,RG,LR,0,0,1,winter
595,39,0,0,5.166,0,0,0,DWN,B,LT,XL,0,0,1,winter
595,40,1,0,1.767,1.79,1.79,0,DWN,B,LT,SM,0,0,1,winter
595,41,1,0,3.19,3.19,3.19,0,DWN,B,LT,MD,0,0,1,winter
595,42,8,0,4.362,4.39,4.39,0,DWN,B,LT,LR,0,0,1,winter
595,44,3,0,2.743,2.69,2.69,0,DWN,F,RG,SM,0,0,1,winter
595,45,0,0,4.905,0,0,0,DWN,F,RG,MD,7,0,1,winter
595,46,4,0,2.743,2.69,2.69,0,DWN,F,LT,SM,0,0,1,winter
595,50,1,0,1.89,1.89,1.89,0,DWN,S,RG,SM,0,0,1,winter
595,51,3,0,2.848,2.99,2.99,0,DWN,S,RG,MD,0,0,1,winter
595,53,7,0,2.848,2.99,2.99,0,DWN,S,LT,MD,0,0,1,winter
595,61,1,0,1.378,1.29,1.29,0,FNT,B,RG,SM,0,0,1,winter
595,62,1,0,2.509,2.29,2.29,0,FNT,B,RG,MD,0,0,1,winter
595,63,1,0,3.457,3.29,3.29,0,FNT,B,RG,LR,0,0,1,winter
595,65,0,0,1.09,0,0,0,GEN,B,RG,XL,0,0,1,winter
595,66,1,1,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,1,winter
595,72,2,0,1.928,1.99,1.99,0,GEN,S,UN,LR,0,0,1,winter
595,78,0,0,3.169,0,0,0,PRL,B,RG,XL,0,0,1,winter
595,80,0,0,1.109,0,0,0,PRL,B,RG,SM,0,0,1,winter
595,82,1,0,1.49,1.49,1.49,0,PRL,B,RG,MD,4,0,1,winter
595,88,0,0,1.19,0,0,0,PRL,L,RG,XL,0,0,1,winter
595,89,0,0,1.672,0,0,0,PRL,L,LT,MD,0,0,1,winter
595,91,0,0,4.184,0,0,0,PRL,L,RG,XL,0,0,1,winter
595,93,0,0,1.105,0,0,0,PRL,L,RG,MD,0,0,1,winter
595,95,1,0,3.378,3.49,3.49,0,PRL,S,RG,XL,0,0,1,winter
595,97,1,0,1.177,1.49,1.49,0,PRL,S,RG,MD,0,2,1,winter
595,99,5,0,2.072,2.29,2.29,0,PRL,S,RG,LR,0,0,1,winter
595,103,2,0,1.182,1.59,1.59,0,PRL,S,UN,MD,0,0,1,winter
595,104,0,0,3.99,0,0,0,SNG,B,RG,XL,0,0,1,winter
595,106,0,0,1.985,0,0,0,SNG,B,RG,SM,0,0,1,winter
595,107,2,0,3.38,2.9,3.19,0.29,SNG,B,RG,MD,0,0,1,winter
595,108,14,0,4.078,2.79,4.29,1.5,SNG,B,RG,LR,0,4,1,winter
595,111,3,0,3.38,3.19,3.19,0,SNG,B,LT,MD,0,0,1,winter
595,112,26,1,4.078,2.79,4.29,1.5,SNG,B,LT,LR,4,0,1,winter
595,114,7,3,1.273,1.19,1.19,0,SNG,S,RG,SM,0,0,1,winter
595,115,1,0,2.875,2.99,2.99,0,SNG,S,RG,MD,0,0,1,winter
595,116,0,0,3.29,0,0,0,SNG,S,RG,LR,0,0,1,winter
595,118,0,0,2.74,0,0,0,SNG,S,LT,MD,0,1,1,winter
595,124,2,0,2.258,2.29,2.29,0,STP,B,RG,MD,0,0,1,winter
595,125,0,0,3.346,0,0,0,STP,B,RG,LR,0,0,1,winter
595,126,0,0,1.967,0,0,0,STP,F,RG,SM,0,0,1,winter
595,130,1,0,1.826,1.99,1.99,0,TSN,S,RG,MD,0,0,1,winter
595,131,0,0,2.59,0,0,0,TSN,S,RG,LR,0,0,1,winter
596,16,0,0,1.19,0,0,0,ARM,S,RG,SM,0,0,2,winter
596,17,1,1,2.041,1.99,1.99,0,ARM,S,RG,MD,0,0,2,winter
596,19,0,0,3.102,0,0,0,ARM,S,RG,LR,0,0,2,winter
596,20,0,0,6.178,0,0,0,BNC,S,RG,XL,0,0,2,winter
596,23,0,2,2.821,0,0,0,BNC,S,RG,MD,0,4,2,winter
596,25,2,3,1.69,1.69,1.69,0,BNC,S,ST,SM,0,0,2,winter
596,26,0,0,2.818,0,0,0,BNC,S,ST,MD,0,4,2,winter
596,27,0,1,3.876,0,0,0,BNC,S,ST,LR,0,4,2,winter
596,29,1,0,2.821,2.59,2.89,0.3,BNC,S,UN,MD,0,4,2,winter
596,30,2,0,0.99,0.99,0.99,0,CLF,S,RG,SM,0,0,2,winter
596,31,0,0,1.29,0,0,0,CLF,S,RG,SM,0,0,2,winter
596,32,1,4,1.79,1.79,1.79,0,CLF,S,RG,MD,0,0,2,winter
596,34,2,0,5.218,5.39,5.39,0,DWN,B,RG,XL,0,0,2,winter
596,35,1,0,1.29,1.29,1.29,0,DWN,B,RG,SM,0,0,2,winter
596,36,0,0,1.79,0,0,0,DWN,B,RG,SM,0,0,2,winter
596,37,4,0,3.19,3.19,3.19,0,DWN,B,RG,MD,0,0,2,winter
596,38,20,2,4.39,3.89,4.39,0.5,DWN,B,RG,LR,4,0,2,winter
596,39,0,0,5.166,0,0,0,DWN,B,LT,XL,0,0,2,winter
596,40,0,1,1.767,0,0,0,DWN,B,LT,SM,0,0,2,winter
596,41,0,1,3.19,0,0,0,DWN,B,LT,MD,0,0,2,winter
596,42,6,8,4.362,3.89,4.39,0.5,DWN,B,LT,LR,0,0,2,winter
596,44,9,3,2.743,2.69,2.69,0,DWN,F,RG,SM,0,0,2,winter
596,45,0,0,4.905,0,0,0,DWN,F,RG,MD,0,0,2,winter
596,46,8,4,2.743,2.69,2.69,0,DWN,F,LT,SM,0,0,2,winter
596,50,2,1,1.89,1.89,1.89,0,DWN,S,RG,SM,0,0,2,winter
596,51,21,3,2.848,1.99,2.99,1,DWN,S,RG,MD,4,0,2,winter
596,53,19,7,2.848,1.99,2.99,1,DWN,S,LT,MD,0,0,2,winter
596,61,0,1,1.378,0,0,0,FNT,B,RG,SM,0,0,2,winter
596,62,3,1,2.509,2.29,2.29,0,FNT,B,RG,MD,0,0,2,winter
596,63,0,1,3.457,0,0,0,FNT,B,RG,LR,0,0,2,winter
596,65,1,0,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,2,winter
596,66,2,1,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,2,winter
596,72,2,2,1.928,1.99,1.99,0,GEN,S,UN,LR,0,0,2,winter
596,78,1,0,3.169,3.39,3.39,0,PRL,B,RG,XL,0,0,2,winter
596,80,0,0,1.109,0,0,0,PRL,B,RG,SM,0,0,2,winter
596,82,1,1,1.49,1.49,1.49,0,PRL,B,RG,MD,4,0,2,winter
596,88,2,0,1.19,1.19,1.19,0,PRL,L,RG,XL,0,0,2,winter
596,89,0,0,1.672,0,0,0,PRL,L,LT,MD,0,0,2,winter
596,91,4,0,4.184,3.99,3.99,0,PRL,L,RG,XL,0,0,2,winter
596,93,0,0,1.105,0,0,0,PRL,L,RG,MD,0,0,2,winter
596,95,1,1,3.378,3.19,3.19,0,PRL,S,RG,XL,0,0,2,winter
596,97,0,1,1.177,0,0,0,PRL,S,RG,MD,0,2,2,winter
596,99,4,5,2.072,1.79,2.29,0.5,PRL,S,RG,LR,0,0,2,winter
596,103,1,2,1.182,1.29,1.59,0.3,PRL,S,UN,MD,0,0,2,winter
596,104,0,0,3.99,0,0,0,SNG,B,RG,XL,0,0,2,winter
596,106,1,0,1.985,1.99,1.99,0,SNG,B,RG,SM,0,0,2,winter
596,107,0,2,3.38,0,0,0,SNG,B,RG,MD,0,0,2,winter
596,108,0,14,4.078,0,0,0,SNG,B,RG,LR,0,4,2,winter
596,111,2,3,3.38,3.39,3.39,0,SNG,B,LT,MD,0,0,2,winter
596,112,1,26,4.078,2.79,4.29,1.5,SNG,B,LT,LR,4,0,2,winter
596,114,3,7,1.273,1.19,1.19,0,SNG,S,RG,SM,0,0,2,winter
596,115,0,1,2.875,0,0,0,SNG,S,RG,MD,0,1,2,winter
596,116,0,0,3.29,0,0,0,SNG,S,RG,LR,0,0,2,winter
596,118,0,0,2.74,0,0,0,SNG,S,LT,MD,0,0,2,winter
596,124,2,2,2.258,2.29,2.29,0,STP,B,RG,MD,0,0,2,winter
596,125,0,0,3.346,0,0,0,STP,B,RG,LR,0,0,2,winter
596,126,0,0,1.967,0,0,0,STP,F,RG,SM,0,0,2,winter
596,130,2,1,1.826,1.99,1.99,0,TSN,S,RG,MD,0,0,2,winter
596,131,0,0,2.59,0,0,0,TSN,S,RG,LR,0,0,2,winter
597,16,0,0,1.19,0,0,0,ARM,S,RG,SM,0,0,2,winter
597,17,1,1,2.041,1.99,1.99,0,ARM,S,RG,MD,0,0,2,winter
597,19,0,0,3.102,0,0,0,ARM,S,RG,LR,0,0,2,winter
597,20,0,0,6.178,0,0,0,BNC,S,RG,XL,0,0,2,winter
597,23,1,0,2.821,2.89,2.89,0,BNC,S,RG,MD,0,4,2,winter
597,25,0,2,1.69,0,0,0,BNC,S,ST,SM,0,0,2,winter
597,26,2,0,2.818,2.89,2.89,0,BNC,S,ST,MD,0,4,2,winter
597,27,0,0,3.876,0,0,0,BNC,S,ST,LR,0,4,2,winter
597,29,0,1,2.821,0,0,0,BNC,S,UN,MD,0,4,2,winter
597,30,1,2,0.99,0.99,0.99,0,CLF,S,RG,SM,0,0,2,winter
597,31,0,0,1.29,0,0,0,CLF,S,RG,SM,0,0,2,winter
597,32,1,1,1.79,1.79,1.79,0,CLF,S,RG,MD,0,0,2,winter
597,34,0,2,5.218,0,0,0,DWN,B,RG,XL,0,0,2,winter
597,35,0,1,1.29,0,0,0,DWN,B,RG,SM,0,0,2,winter
597,36,0,0,1.79,0,0,0,DWN,B,RG,SM,0,0,2,winter
597,37,1,4,3.19,3.19,3.19,0,DWN,B,RG,MD,0,0,2,winter
597,38,0,20,4.39,0,0,0,DWN,B,RG,LR,4,0,2,winter
597,39,0,0,5.166,0,0,0,DWN,B,LT,XL,7,0,2,winter
597,40,2,0,1.767,1.79,1.79,0,DWN,B,LT,SM,0,0,2,winter
597,41,0,0,3.19,0,0,0,DWN,B,LT,MD,0,0,2,winter
597,42,0,6,4.362,0,0,0,DWN,B,LT,LR,0,0,2,winter
597,44,15,9,2.743,1.99,2.69,0.7,DWN,F,RG,SM,0,0,2,winter
597,45,0,0,4.905,0,0,0,DWN,F,RG,MD,0,0,2,winter
597,46,10,8,2.743,1.99,2.69,0.7,DWN,F,LT,SM,0,0,2,winter
597,50,1,2,1.89,1.89,1.89,0,DWN,S,RG,SM,0,0,2,winter
597,51,1,21,2.848,2.99,2.99,0,DWN,S,RG,MD,4,0,2,winter
597,53,0,19,2.848,0,0,0,DWN,S,LT,MD,0,0,2,winter
597,61,0,0,1.378,0,0,0,FNT,B,RG,SM,0,0,2,winter
597,62,1,3,2.509,2.29,2.29,0,FNT,B,RG,MD,0,0,2,winter
597,63,1,0,3.457,3.29,3.29,0,FNT,B,RG,LR,0,0,2,winter
597,65,1,1,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,2,winter
597,66,1,2,1.09,1.09,1.09,0,GEN,B,RG,XL,0,0,2,winter
597,72,2,2,1.928,1.99,1.99,0,GEN,S,UN,LR,0,0,2,winter
597,78,0,1,3.169,0,0,0,PRL,B,RG,XL,0,0,2,winter
597,80,1,0,1.109,1.09,1.09,0,PRL,B,RG,SM,0,0,2,winter
597,82,0,1,1.49,0,0,0,PRL,B,RG,MD,4,0,2,winter
597,88,0,2,1.19,0,0,0,PRL,L,RG,XL,0,0,2,winter
597,89,0,0,1.672,0,0,0,PRL,L,LT,MD,0,0,2,winter
597,91,0,4,4.184,0,0,0,PRL,L,RG,XL,0,0,2,winter
