"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
646,19,0,1,3.102,0,0,0,"ARM","S","RG","LR",0,0,1,"winter",-0.017846545829115
646,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,1,1,"winter",0.341347769727663
646,23,1,1,2.821,2.69,2.69,0,"BNC","S","RG","MD",0,4,1,"winter",1.32700904160544
646,25,0,1,1.69,0,0,0,"BNC","S","ST","SM",0,0,1,"winter",0.244582573850652
646,26,0,0,2.818,0,0,0,"BNC","S","ST","MD",0,0,1,"winter",0.21165890665276
646,27,0,2,3.876,0,0,0,"BNC","S","ST","LR",0,0,1,"winter",-0.0151683542412226
646,29,0,0,2.821,0,0,0,"BNC","S","UN","MD",4,0,1,"winter",0.119294709586848
646,30,2,1,0.99,0.99,0.99,0,"CLF","S","RG","SM",0,0,1,"winter",1.48120919800785
646,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.33087008898404
646,32,3,1,1.79,1.79,1.79,0,"CLF","S","RG","MD",0,0,1,"winter",1.47764826528942
646,34,0,0,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.364772145845748
646,35,1,0,1.29,1.29,1.29,0,"DWN","B","RG","SM",0,0,1,"winter",1.14129205508932
646,36,0,2,1.79,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",0.0138462976682048
646,37,2,0,3.19,3.19,3.19,0,"DWN","B","RG","MD",4,0,1,"winter",1.45002627195663
646,38,0,0,4.39,0,0,0,"DWN","B","RG","LR",0,0,1,"winter",0.0325208275475566
646,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,4,1,"winter",0.401059303114142
646,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.0361219445441348
646,41,1,2,3.19,3.19,3.19,0,"DWN","B","LT","MD",0,0,1,"winter",1.49462395679834
646,42,0,2,4.362,0,0,0,"DWN","B","LT","LR",0,0,1,"winter",0.0229677682709211
646,44,4,9,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,2,1,"winter",3.82490174065967
646,45,0,0,4.905,0,0,0,"DWN","F","RG","MD",4,0,1,"winter",0.430022340746006
646,46,2,4,2.743,2.69,2.69,0,"DWN","F","LT","SM",0,0,1,"winter",2.84345141331547
646,50,2,0,1.89,1.89,1.89,0,"DWN","S","RG","SM",0,0,1,"winter",1.55917581266511
646,51,1,2,2.848,2.59,2.59,0,"DWN","S","RG","MD",2,0,1,"winter",1.61560649707632
646,53,0,0,2.848,0,0,0,"DWN","S","LT","MD",0,0,1,"winter",0.252185976626489
646,61,0,0,1.378,0,0,0,"FNT","B","RG","SM",0,0,1,"winter",0.109512289576226
646,62,24,7,2.509,1.89,2.39,0.5,"FNT","B","RG","MD",0,0,1,"winter",5.61606642609837
646,63,0,2,3.457,0,0,0,"FNT","B","RG","LR",0,0,1,"winter",0.0391130961790811
646,65,2,2,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.49143104936312
646,66,1,3,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.56277373912591
646,72,1,3,1.928,1.89,1.89,0,"GEN","S","UN","LR",0,0,1,"winter",1.50078800327615
646,78,0,0,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",0.0225797726173433
646,80,1,0,1.109,1.09,1.09,0,"PRL","B","RG","SM",0,0,1,"winter",1.04447999596172
646,82,5,2,1.49,1.49,1.49,0,"PRL","B","RG","MD",0,0,1,"winter",1.43032464701185
646,88,2,1,1.19,1.19,1.19,0,"PRL","L","RG","XL",0,0,1,"winter",1.35045615179509
646,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.29354073485293
646,91,0,1,4.184,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.181848715622633
646,93,0,1,1.105,0,0,0,"PRL","L","RG","MD",0,0,1,"winter",0.438407272997235
646,95,1,0,3.378,3.49,3.49,0,"PRL","S","RG","XL",0,3,1,"winter",1.28586952022676
646,97,1,2,1.177,1.49,1.49,0,"PRL","S","RG","MD",0,0,1,"winter",1.89037100854278
646,99,3,0,2.072,1.99,1.99,0,"PRL","S","RG","LR",0,0,1,"winter",1.36976744900786
646,103,1,0,1.182,1.49,1.49,0,"PRL","S","UN","MD",0,0,1,"winter",1.54059915382301
646,104,1,2,3.99,3.99,3.99,0,"SNG","B","RG","XL",7,0,1,"winter",1.66828215572035
646,106,1,1,1.985,1.99,1.99,0,"SNG","B","RG","SM",0,0,1,"winter",1.41091959927833
646,107,1,4,3.38,3.39,3.39,0,"SNG","B","RG","MD",2,0,1,"winter",1.81756377791345
